Agent Name,Final Balance
Agent 7737,108153.0
Agent 7724,179134.2
Agent 7739,10000.0
Agent 7740,10000.0
Agent 7741,10000.0
Agent 7742,10000.0
Agent 7743,10000.0
Agent 7744,10000.0
Agent 7745,10000.0
Agent 7746,10000.0
