Game Number,Winner,Pot Size,Number of Players
788,Agent 6102,205517.98805759999,10
789,Agent 6102,123359.27,10
790,Agent 6121,193204.8,10
791,Agent 6121,245211.12451999995,10
792,Agent 6147,304229.37962949986,10
793,Agent 6147,116468.21796295,10
794,Agent 6165,143457.12984017096,10
795,Agent 6165,126531.01507587043,10
796,Agent 6165,130836.37244839036,10
797,Agent 6191,177197.2,10
798,Agent 6193,121490.35796517106,10
799,Agent 6191,134931.1963071002,10
800,Agent 6193,156729.144,10
801,Agent 6217,177073.02,10
802,Agent 6193,116185.68912,10
803,Agent 6193,164292.80000000002,10
804,Agent 6193,177653.29213856,10
805,Agent 6239,206646.1939903659,10
806,Agent 6239,173588.67258058325,10
807,Agent 6260,265727.48,10
808,Agent 6270,115820.67024,10
809,Agent 6270,60017.265039948805,10
810,Agent 6282,150009.9088,10
811,Agent 6288,110297.94719999998,10
812,Agent 6297,143014.29946880002,10
813,Agent 6305,115245.0150084096,10
814,Agent 6315,108946.99586804942,10
815,Agent 6324,109484.81315700054,10
816,Agent 6315,73297.28978126767,10
817,Agent 6337,184481.1106462166,10
818,Agent 6348,167096.935,10
819,Agent 6337,120283.31940000001,10
820,Agent 6358,143308.9584,10
821,Agent 6367,191731.33520000003,10
822,Agent 6377,216756.1189264384,10
823,Agent 6385,63033.2530460672,10
824,Agent 6385,231219.39200000002,10
825,Agent 6395,188635.684,10
826,Agent 6406,127748.99776,10
827,Agent 6418,175496.094064,10
828,Agent 6418,134178.797519104,10
829,Agent 6418,99619.84000000008,10
830,Agent 6441,188211.7916,10
831,Agent 6441,179561.26208000007,10
832,Agent 6458,257454.021952,10
833,Agent 6465,309539.3599999999,10
834,Agent 6465,135988.3731712,10
835,Agent 6482,157687.42946304,10
836,Agent 6489,151641.2098107392,10
837,Agent 6496,192780.10791813122,10
838,Agent 6503,165157.6108972503,10
839,Agent 6506,128370.43847930536,10
840,Agent 6514,180884.29274949,10
841,Agent 6521,165413.6,10
842,Agent 6536,273089.9,10
843,Agent 6536,135175.875,10
844,Agent 6552,108592.25,10
845,Agent 6554,150575.40500000003,10
846,Agent 6552,105681.21127200002,10
847,Agent 6574,170795.5,10
848,Agent 6582,220571.39866864,10
849,Agent 6587,100947.25599999996,10
850,Agent 6593,201338.937088,10
851,Agent 6599,167556.6932064001,10
852,Agent 6607,166372.0,10
853,Agent 6599,86425.19984323173,10
854,Agent 6607,146852.9621955324,10
855,Agent 6632,210615.1259575477,10
856,Agent 6638,216166.76,10
857,Agent 6647,285131.17468481197,10
858,Agent 6652,301076.25270176324,10
859,Agent 6652,249321.75999999998,10
860,Agent 6668,327204.6512,10
861,Agent 6678,193764.54050303996,10
862,Agent 6678,136952.8,10
863,Agent 6694,101676.0,10
864,Agent 6704,114260.064,10
865,Agent 6707,97866.98496000003,10
866,Agent 6714,172883.8,10
867,Agent 6723,192128.33612275202,10
868,Agent 6729,163238.9397953152,10
869,Agent 6729,114111.08402440499,10
870,Agent 6729,117753.4,10
871,Agent 6729,254036.52799685107,10
872,Agent 6729,213826.19759659914,10
873,Agent 6765,310156.0,10
874,Agent 6777,191370.96639206467,10
875,Agent 6783,259579.82272,10
876,Agent 6791,154278.4064,10
877,Agent 6796,206311.52723808002,10
878,Agent 6804,206813.856,10
879,Agent 6817,181713.5,10
880,Agent 6821,248415.424,10
881,Agent 6817,152381.0,10
882,Agent 6821,133759.3140448,10
883,Agent 6848,130046.36674994789,10
884,Agent 6856,169563.6,10
885,Agent 6856,96241.48313624621,10
886,Agent 6867,110422.9,10
887,Agent 6877,137529.87,10
888,Agent 6877,102228.82215311483,10
889,Agent 6867,223162.12530625687,10
890,Agent 6896,77122.9041288287,10
891,Agent 6896,108681.84,10
892,Agent 6913,181729.895984,10
893,Agent 6913,232519.2290611201,10
894,Agent 6913,117375.54020863998,10
895,Agent 6932,187374.0,10
896,Agent 6932,101363.90236426803,10
897,Agent 6932,146979.0,10
898,Agent 6932,176810.53759999998,10
899,Agent 6971,213742.20992,10
900,Agent 6979,171961.18016,10
901,Agent 6981,175912.63999999998,10
902,Agent 6988,160542.8928,10
903,Agent 6988,85937.59718399998,10
904,Agent 7009,299064.32,10
905,Agent 7013,163617.68,10
906,Agent 7027,329672.80799999996,10
907,Agent 7029,129008.37928,10
908,Agent 7041,160732.645231488,10
909,Agent 7043,171836.1976018688,10
910,Agent 7043,128495.56952592383,10
911,Agent 7059,143692.8,10
912,Agent 7070,169432.0,10
913,Agent 7076,214992.08602732053,10
914,Agent 7070,102580.13823152723,10
915,Agent 7089,131705.4,10
916,Agent 7089,235499.51341422473,10
917,Agent 7089,133227.00710476155,10
918,Agent 7089,201233.6,10
919,Agent 7123,115959.0228057146,10
920,Agent 7089,143457.93813943758,10
921,Agent 7089,137373.52064622293,10
922,Agent 7141,250436.05659596753,10
923,Agent 7148,135735.15395758042,10
924,Agent 7148,145136.78608,10
925,Agent 7165,274190.0,10
926,Agent 7148,474928.735424,10
927,Agent 7148,242805.38984806396,10
928,Agent 7191,506046.6356805632,10
929,Agent 7198,121378.05623157555,10
930,Agent 7204,157252.0,10
931,Agent 7191,109991.16673967688,10
932,Agent 7221,191155.07200000001,10
933,Agent 7221,103553.76352000001,10
934,Agent 7240,181852.36376319997,10
935,Agent 7240,192469.28621009918,10
936,Agent 7240,80990.28303999998,10
937,Agent 7260,328418.4,10
938,Agent 7260,107493.432528032,10
939,Agent 7280,189858.45808110462,10
940,Agent 7280,93710.08000000002,10
941,Agent 7280,83220.6683590825,10
942,Agent 7280,149750.98709191682,10
943,Agent 7280,133414.91951847266,10
944,Agent 7295,195378.07805330036,10
945,Agent 7295,100277.09747691746,10
946,Agent 7323,191649.12216716007,10
947,Agent 7323,126333.96370339875,10
948,Agent 7338,170137.27839999995,10
949,Agent 7350,151414.3608,10
950,Agent 7350,100000.00000000003,10
951,Agent 7338,101243.72386256277,10
952,Agent 7372,102219.17348071802,10
953,Agent 7372,111615.91779009369,10
954,Agent 7372,139487.57,10
955,Agent 7391,150386.8,10
956,Agent 7398,206086.58048000003,10
957,Agent 7409,200392.263186432,10
958,Agent 7409,124067.25511823357,10
959,Agent 7409,140777.43157543064,10
960,Agent 7426,210340.9574037208,10
961,Agent 7444,200955.82966612178,10
962,Agent 7446,345961.90967122745,10
963,Agent 7460,288512.0983881288,10
964,Agent 7460,187898.326,10
965,Agent 7460,260504.16000000003,9
966,Agent 7460,366247.347632,10
967,Agent 7489,194871.91519564798,10
968,Agent 7495,179564.88000000003,10
969,Agent 7495,172110.39672274698,10
970,Agent 7512,105665.0912,10
971,Agent 7515,112480.2,9
972,Agent 7524,185116.0,10
973,Agent 7512,146453.56511999998,10
974,Agent 7512,129590.0,10
975,Agent 7549,176811.47935872,10
976,Agent 7549,74414.54711654402,10
977,Agent 7559,228534.15136000002,10
978,Agent 7573,206592.13630975998,10
979,Agent 7579,192492.850896704,10
980,Agent 7589,241139.2,10
981,Agent 7597,297583.5,10
982,Agent 7602,289983.2,10
983,Agent 7611,93219.37139999999,10
984,Agent 7616,122363.33753967998,10
985,Agent 7627,126952.75544444798,10
986,Agent 7632,138259.62033796398,10
987,Agent 7632,159531.67136055187,10
988,Agent 7646,166069.0,10
989,Agent 7656,101021.89934855,10
990,Agent 7646,119784.26089233559,10
991,Agent 7666,98940.0,10
992,Agent 7677,117892.62115666908,10
993,Agent 7682,136454.53585322248,10
994,Agent 7682,112133.04777245081,10
995,Agent 7689,244818.92600136978,10
996,Agent 7689,108331.9041140711,10
997,Agent 7709,204861.0,10
998,Agent 7721,163140.044,10
999,Agent 7724,213458.67720000003,10
1000,Agent 7724,108153.456,10
