Game Number,Winner,Pot Size,Number of Players
190,Agent 1449,161384.553,10
191,Agent 1498,281933.3696,10
192,Agent 1498,233683.84,10
193,Agent 1513,365556.41000000003,10
194,Agent 1524,230395.24096000002,10
195,Agent 1533,150439.31999999995,10
196,Agent 1537,158232.272,10
197,Agent 1546,193836.74,10
198,Agent 1557,264964.208,10
199,Agent 1546,203885.8,10
200,Agent 1570,256270.06,10
201,Agent 1570,113532.48,10
202,Agent 1585,97239.20320000002,10
203,Agent 1598,213186.87296,10
204,Agent 1604,215518.84828160002,10
205,Agent 1599,208393.52926218233,10
206,Agent 1604,298213.24896400387,10
207,Agent 1626,209432.73200000002,10
208,Agent 1631,183478.75104,10
209,Agent 1631,291376.2,10
210,Agent 1631,205717.64,10
211,Agent 1654,209736.1599999999,10
212,Agent 1654,98830.729744,10
213,Agent 1666,95400.0,10
214,Agent 1680,135219.50400000002,10
215,Agent 1680,162598.68,10
216,Agent 1666,169846.27279999998,10
217,Agent 1693,152067.80224,10
218,Agent 1704,212471.2,10
219,Agent 1712,234004.05447999996,10
220,Agent 1704,127736.52960000001,10
221,Agent 1724,225825.5,10
222,Agent 1724,82133.24799999999,10
223,Agent 1742,251324.836,10
224,Agent 1752,176930.882184,10
225,Agent 1760,143854.5,10
226,Agent 1763,117931.35,10
227,Agent 1770,109507.785,10
228,Agent 1760,172892.30680000002,10
229,Agent 1787,185429.32176,10
230,Agent 1793,151856.03999999998,10
231,Agent 1805,105151.99232,10
232,Agent 1812,100460.4806144,10
233,Agent 1817,174754.84030719998,10
234,Agent 1817,31991.203347456,10
235,Agent 1817,191639.0,10
236,Agent 1824,189632.41999999998,10
237,Agent 1817,186037.086496,10
238,Agent 1855,215189.65232128004,10
239,Agent 1855,97163.264976,10
240,Agent 1870,155426.65706428795,10
241,Agent 1870,180350.81151796863,10
242,Agent 1890,130949.39760000001,10
243,Agent 1892,245338.8,10
244,Agent 1892,74150.4492,10
245,Agent 1908,258125.812,10
246,Agent 1916,177842.90600000002,10
247,Agent 1916,106294.0,10
248,Agent 1933,195413.49060000002,10
249,Agent 1937,216712.43708959996,10
250,Agent 1937,135379.12,10
251,Agent 1951,155882.662472,10
252,Agent 1958,135182.594869344,10
253,Agent 1951,201554.54367968638,10
254,Agent 1958,206965.92767999994,10
255,Agent 1951,140915.3456,10
256,Agent 1993,247653.11670528,10
257,Agent 2000,335030.19999999995,10
258,Agent 2000,166383.088,10
259,Agent 2013,518653.13535999996,10
260,Agent 2013,117060.60832000001,10
261,Agent 2017,140616.94400000002,10
262,Agent 2035,273912.3148,10
263,Agent 2042,73790.29952,10
264,Agent 2054,220306.0,9
265,Agent 2059,139479.166,10
266,Agent 2065,154940.55565999998,10
267,Agent 2077,96870.184,10
268,Agent 2077,215311.00504960006,10
269,Agent 2077,131646.92533375998,10
270,Agent 2098,203276.16400192,10
271,Agent 2077,318508.0392781184,10
272,Agent 2110,317735.6932271987,10
273,Agent 2077,247895.431476512,10
274,Agent 2128,150938.22265640835,10
275,Agent 2135,243839.8725517295,10
276,Agent 2140,147403.406814976,10
277,Agent 2135,121847.42370884401,10
278,Agent 2160,164485.236,10
279,Agent 2169,112607.87,10
280,Agent 2175,173991.4,10
281,Agent 2185,235788.368,10
282,Agent 2190,95754.70300000007,10
283,Agent 2194,174920.24000000002,10
284,Agent 2194,94425.74399999999,10
285,Agent 2211,203078.0,10
286,Agent 2211,197511.4912,10
287,Agent 2230,158552.872,10
288,Agent 2238,191411.12800000003,10
289,Agent 2248,243133.6976,10
290,Agent 2251,196785.912,10
291,Agent 2263,273411.9,10
292,Agent 2270,198848.28,10
293,Agent 2279,297986.0,10
294,Agent 2279,142416.12799999997,10
295,Agent 2294,272123.51999999996,10
296,Agent 2303,82430.654928,10
297,Agent 2303,109552.376,10
298,Agent 2318,141638.10192000002,10
299,Agent 2323,95700.0,10
300,Agent 2318,54889.051327999965,10
301,Agent 2337,190105.53999999998,10
302,Agent 2344,200764.936,10
303,Agent 2344,114314.94,10
304,Agent 2365,276999.13399999996,10
305,Agent 2367,152798.24704,10
306,Agent 2381,154189.84000000008,10
307,Agent 2384,201294.53328000003,10
308,Agent 2392,260039.66,10
309,Agent 2384,186324.4,9
310,Agent 2409,244047.86799999996,9
311,Agent 2417,240448.54600000003,8
312,Agent 2430,235161.8,10
313,Agent 2417,177711.584,10
314,Agent 2443,137276.7294,10
315,Agent 2453,100438.43617888,10
316,Agent 2460,281241.13545050373,10
317,Agent 2464,67425.8600341287,10
318,Agent 2464,245972.8,10
319,Agent 2464,99947.05600000001,10
320,Agent 2490,329181.4728,10
321,Agent 2490,187233.61857599998,10
322,Agent 2490,191123.62187008,10
323,Agent 2490,130327.24010978082,10
324,Agent 2521,439095.8428885114,10
325,Agent 2521,271254.0,9
326,Agent 2521,148353.79261283512,10
327,Agent 2531,219610.08625315424,10
328,Agent 2549,383839.6549734837,10
329,Agent 2552,417700.3007517046,10
330,Agent 2562,310018.65,10
331,Agent 2562,226726.84,10
332,Agent 2579,364642.9312,10
333,Agent 2590,306599.4775999999,10
334,Agent 2590,99548.41599999985,10
335,Agent 2601,159954.7934464,10
336,Agent 2613,186655.59999999998,10
337,Agent 2613,131187.40575999997,10
338,Agent 2624,122271.003648,10
339,Agent 2630,178509.49794078717,10
340,Agent 2630,100761.59999999998,10
341,Agent 2645,241271.65166816663,10
342,Agent 2654,315290.7,10
343,Agent 2660,123872.51199999999,10
344,Agent 2666,132237.13236480003,10
345,Agent 2666,188427.42271999997,10
346,Agent 2679,65705.2979008,10
347,Agent 2666,329873.51916032,10
348,Agent 2666,138873.40000000002,10
349,Agent 2704,144425.868,10
350,Agent 2716,124940.60111999998,10
351,Agent 2704,158162.71532000002,10
352,Agent 2704,107111.68,10
353,Agent 2739,166584.36992,10
354,Agent 2746,179632.3995776,10
355,Agent 2755,133144.81826128898,10
356,Agent 2749,175352.496,10
357,Agent 2755,99751.7,10
358,Agent 2777,143362.14,10
359,Agent 2786,155703.0,10
360,Agent 2788,184826.4,10
361,Agent 2788,100259.92755200001,10
362,Agent 2807,140577.9145856,10
363,Agent 2814,146864.54749184003,10
364,Agent 2826,138721.2,10
365,Agent 2834,158454.2434128691,10
366,Agent 2841,146614.6655459123,10
367,Agent 2847,223115.750908894,10
368,Agent 2851,141258.7,10
369,Agent 2847,185873.7,10
370,Agent 2861,271705.77,10
371,Agent 2877,164111.43,10
372,Agent 2861,102139.95719999999,10
373,Agent 2893,233512.0,10
374,Agent 2893,126403.15459840003,10
375,Agent 2904,189016.8596717567,10
376,Agent 2861,244306.8478267834,10
377,Agent 2919,59295.61167216988,10
378,Agent 2925,159214.32005285082,10
379,Agent 2925,127395.38159087743,10
380,Agent 2940,256848.0634852315,10
381,Agent 2951,224355.82539409262,10
382,Agent 2951,101565.24420915202,10
383,Agent 2951,188980.616770368,10
384,Agent 2978,140788.0,10
385,Agent 2983,205806.40000000002,10
386,Agent 2983,135129.25832056612,10
387,Agent 2996,344567.79287999996,10
388,Agent 2996,105636.0,10
389,Agent 2996,152580.09308639998,10
390,Agent 2983,237543.41892064,10
391,Agent 2983,104723.046347328,10
392,Agent 2983,100250.0,10
393,Agent 3041,146846.9905325985,10
394,Agent 3055,124928.89738895465,10
395,Agent 3055,136550.33751534668,10
396,Agent 3055,121843.07436474613,10
397,Agent 3072,199249.6,10
398,Agent 3084,276360.0925,10
399,Agent 3084,197330.8573811056,10
400,Agent 3101,278316.16649705253,10
401,Agent 3084,370526.0,10
402,Agent 3084,135354.77512721065,10
403,Agent 3116,129604.74222888573,10
404,Agent 3129,342998.6772051491,10
405,Agent 3132,109495.288,10
406,Agent 3132,297714.0,10
407,Agent 3156,323029.36,10
408,Agent 3132,386179.9975999999,10
409,Agent 3168,191484.878368,10
410,Agent 3180,176196.50400000002,10
411,Agent 3183,103722.91104,10
412,Agent 3183,102480.72,10
413,Agent 3202,216763.2,10
414,Agent 3209,153248.45751999997,10
415,Agent 3209,117907.1617344,10
416,Agent 3209,164511.2560143104,10
417,Agent 3234,124740.17090558894,10
418,Agent 3240,190760.63481992309,10
419,Agent 3248,144516.5525333104,10
420,Agent 3243,102418.48834089928,10
421,Agent 3262,134565.16049319063,9
422,Agent 3243,140103.58074081712,10
423,Agent 3282,231991.61167623865,10
424,Agent 3286,213310.52655655018,10
425,Agent 3292,290593.1076823301,10
426,Agent 3286,111307.97501262254,10
427,Agent 3309,126120.32059969705,10
428,Agent 3315,135183.76,10
429,Agent 3325,140205.61088,10
430,Agent 3315,165796.594816,10
431,Agent 3343,243533.5,10
432,Agent 3315,183570.40000000002,10
433,Agent 3350,215860.76,10
434,Agent 3350,163643.8,10
435,Agent 3371,251411.0,10
436,Agent 3386,134302.8112,10
437,Agent 3393,153010.63616,10
438,Agent 3395,181162.1236992,10
439,Agent 3404,154195.32,10
440,Agent 3410,164408.564,10
441,Agent 3417,244971.90000000005,10
442,Agent 3426,141855.418,10
443,Agent 3417,220947.73144,10
444,Agent 3442,157576.5,10
445,Agent 3453,188339.37,10
446,Agent 3453,157187.76224,10
447,Agent 3465,251162.8264,8
448,Agent 3475,257088.591392,10
449,Agent 3484,185070.63613440006,9
450,Agent 3489,191630.84481904638,10
451,Agent 3499,156850.4,10
452,Agent 3508,186067.36,10
453,Agent 3513,214807.1,10
454,Agent 3513,95400.0,10
455,Agent 3530,160292.433,10
456,Agent 3530,122204.10646224002,10
457,Agent 3530,189204.493128576,10
458,Agent 3530,84735.26030713599,10
459,Agent 3558,434524.1479385727,10
460,Agent 3569,217803.59659822955,10
461,Agent 3569,95401.46041597397,10
462,Agent 3569,145990.5,10
463,Agent 3589,228903.80837593216,10
464,Agent 3597,127338.97922349826,10
465,Agent 3602,69117.45200000002,10
466,Agent 3597,180473.57648,10
467,Agent 3619,202673.66250000003,10
468,Agent 3627,201788.019375,10
469,Agent 3631,142546.2144,10
470,Agent 3631,247375.58950400003,10
471,Agent 3631,197351.75788057598,10
472,Agent 3655,144651.0214413312,10
473,Agent 3662,156763.97745980672,10
474,Agent 3672,115261.952,10
475,Agent 3683,116687.81787039999,10
476,Agent 3687,104526.79852222081,10
477,Agent 3696,73062.1365095232,10
478,Agent 3703,132703.71747777922,10
479,Agent 3703,100142.3424,10
480,Agent 3720,149712.73766400001,10
481,Agent 3720,73582.98483200002,10
482,Agent 3734,115521.69818240001,10
483,Agent 3741,99121.28233759999,10
484,Agent 3746,164877.0,10
485,Agent 3746,136815.238358464,10
486,Agent 3746,103354.0,10
487,Agent 3773,311695.422425,10
488,Agent 3773,220251.58967400002,10
489,Agent 3773,100000.0,10
490,Agent 3773,110843.20000000001,10
491,Agent 3773,314417.006,10
492,Agent 3813,254255.8895454,10
493,Agent 3821,248921.8977745088,10
494,Agent 3829,203854.32192875905,10
495,Agent 3829,143820.67329283096,10
496,Agent 3846,190472.4,10
497,Agent 3829,233616.27999999997,10
498,Agent 3861,168596.24,10
499,Agent 3829,183641.58000000002,10
500,Agent 3829,170850.24,10
501,Agent 3882,263220.0,10
502,Agent 3877,306076.2688,10
503,Agent 3895,273727.1404416,10
504,Agent 3895,180957.242498816,10
505,Agent 3895,320225.8686669824,10
506,Agent 3895,101705.22404328756,10
507,Agent 3895,73816.97923463004,10
508,Agent 3934,430393.7690762206,10
509,Agent 3935,271079.04907622066,10
510,Agent 3935,333557.6,10
511,Agent 3935,100000.0,10
512,Agent 3935,187820.5,10
513,Agent 3974,388331.582,10
514,Agent 3986,465531.78045120003,10
515,Agent 3986,104313.68200959999,10
516,Agent 3986,181920.20920575998,10
517,Agent 4006,266669.661925376,10
518,Agent 4006,187956.52990326015,10
519,Agent 4006,273887.7670693877,10
520,Agent 4031,363568.08409665304,10
521,Agent 4041,272841.6336386612,10
522,Agent 4044,391720.904,10
523,Agent 4044,208895.43420000002,10
524,Agent 4061,239294.5,10
525,Agent 4061,155094.24899999995,10
526,Agent 4077,330353.84975,10
527,Agent 4084,230211.50984999994,10
528,Agent 4084,188247.545075,10
529,Agent 4084,139021.465063306,10
530,Agent 4112,192416.8,10
531,Agent 4118,213428.1294180506,10
532,Agent 4124,179406.7479406158,10
533,Agent 4124,100000.0,10
534,Agent 4118,182065.48965569155,10
535,Agent 4144,189796.9888,10
536,Agent 4144,111106.194272,10
537,Agent 4161,148763.93826156802,10
538,Agent 4168,85535.805728,10
539,Agent 4178,203403.13199999998,10
540,Agent 4185,251480.74,10
541,Agent 4191,142002.224,10
542,Agent 4197,149291.6,10
543,Agent 4191,136821.1,10
544,Agent 4191,136094.0,10
545,Agent 4221,192480.16000000003,10
546,Agent 4221,130818.112,10
547,Agent 4241,253645.2,10
548,Agent 4249,193913.13174399995,10
549,Agent 4254,213702.80212,10
550,Agent 4261,190004.2952,10
551,Agent 4261,103589.33835199999,10
552,Agent 4261,176550.04516799998,10
553,Agent 4275,276261.58364496,10
554,Agent 4293,328668.417102944,10
555,Agent 4300,189313.52000000002,10
556,Agent 4306,148999.0,10
557,Agent 4320,173668.88679999998,10
558,Agent 4323,105674.2366048,10
559,Agent 4328,166526.06617120001,10
560,Agent 4328,121048.4,10
561,Agent 4348,144819.2,10
562,Agent 4355,134939.74656,10
563,Agent 4366,205032.1989632,10
564,Agent 4355,234737.25863807998,10
565,Agent 4355,115947.0,10
566,Agent 4355,263999.504,10
567,Agent 4398,271216.98457600013,10
568,Agent 4406,367746.0,10
569,Agent 4409,139318.77686399998,10
570,Agent 4416,181748.45399999997,10
571,Agent 4427,184725.42525199996,10
572,Agent 4437,173403.84,10
573,Agent 4441,229220.95,10
574,Agent 4452,242821.75,10
575,Agent 4456,249776.4,10
576,Agent 4469,151580.36,10
577,Agent 4474,149357.3752,10
578,Agent 4481,153337.03736000002,10
579,Agent 4490,192680.80747200001,10
580,Agent 4497,195195.95,10
581,Agent 4504,190560.1,10
582,Agent 4504,118562.512,10
583,Agent 4520,189213.41920000003,10
584,Agent 4529,176645.240352,10
585,Agent 4529,191874.294,10
586,Agent 4529,260909.42770160007,10
587,Agent 4546,248300.71071935998,10
588,Agent 4552,192669.96947161597,10
589,Agent 4529,165447.51308027998,10
590,Agent 4568,99943.0985325467,10
591,Agent 4581,108112.3,10
592,Agent 4587,116524.596,10
593,Agent 4587,219269.3772,10
594,Agent 4598,141341.6,10
595,Agent 4609,310061.45032175997,10
596,Agent 4617,196031.025710968,10
597,Agent 4625,188819.23,10
598,Agent 4617,168678.24,8
599,Agent 4640,255291.74000000002,10
600,Agent 4644,130302.59799999998,10
601,Agent 4656,215829.6706,9
602,Agent 4656,99960.25600000001,8
603,Agent 4656,99999.99999999993,10
604,Agent 4674,149789.35,10
605,Agent 4685,103841.98734240001,8
606,Agent 4685,41578.20890679999,8
607,Agent 4705,118576.605776,10
608,Agent 4713,187780.09600000002,10
609,Agent 4713,75447.2942971392,9
610,Agent 4723,206923.02399999998,10
611,Agent 4734,100185.9564,10
612,Agent 4741,128099.981744,10
613,Agent 4749,162152.672610304,10
614,Agent 4759,127296.33600000002,10
615,Agent 4767,176517.61088,10
616,Agent 4767,136988.99728,10
617,Agent 4787,229086.0,10
618,Agent 4792,277271.08,10
619,Agent 4792,145911.832,10
620,Agent 4804,179992.952,10
621,Agent 4812,292167.1328,10
622,Agent 4824,120378.54000000001,10
623,Agent 4834,166576.8,10
624,Agent 4834,99421.12,10
625,Agent 4834,145747.212,10
626,Agent 4834,147260.63592000003,10
627,Agent 4865,116410.85859240004,10
628,Agent 4870,173540.69710609998,10
629,Agent 4881,119887.21738907202,10
630,Agent 4884,157074.15271768428,10
631,Agent 4897,214760.19567788116,10
632,Agent 4905,167807.36,10
633,Agent 4909,200848.4,10
634,Agent 4909,266885.82,10
635,Agent 4909,20669.25743999999,10
636,Agent 4930,294771.85307199997,10
637,Agent 4942,529285.485752,10
638,Agent 4942,110544.418735616,10
639,Agent 4942,232747.31199999998,10
640,Agent 4944,274602.93524589686,10
641,Agent 4944,184906.23163933185,10
642,Agent 4944,251410.14,10
643,Agent 4988,213481.0,10
644,Agent 4995,302712.848,10
645,Agent 4995,139386.13280000002,10
646,Agent 4988,152376.1342147686,10
647,Agent 4995,168034.23933361564,10
648,Agent 5024,320584.19200000004,10
649,Agent 5024,108927.87599999999,10
650,Agent 5040,172427.94144000002,10
651,Agent 5024,185556.58907008002,10
652,Agent 5053,163520.2219706752,10
653,Agent 5053,99860.77020159998,10
654,Agent 5073,107523.64944945452,10
655,Agent 5081,190078.59999999998,10
656,Agent 5081,125002.24,10
657,Agent 5081,103214.4,10
658,Agent 5108,156647.2,10
659,Agent 5110,113796.44172672,9
660,Agent 5120,151608.7952,10
661,Agent 5128,171998.76160000003,10
662,Agent 5132,223100.8,10
663,Agent 5147,180982.4,10
664,Agent 5153,201489.32799999998,10
665,Agent 5158,154146.57001599998,10
666,Agent 5158,107311.59232,10
667,Agent 5171,217005.2,10
668,Agent 5171,138456.488,10
669,Agent 5158,255571.3884,10
670,Agent 5158,102525.114156,10
671,Agent 5195,158131.18684936,10
672,Agent 5217,211996.73662899903,10
673,Agent 5224,195644.00595683095,10
674,Agent 5232,178610.36800000002,10
675,Agent 5232,170316.61119999993,10
676,Agent 5246,114512.2,10
677,Agent 5246,61118.265343999985,10
678,Agent 5246,99988.5312,10
679,Agent 5264,283399.04512,10
680,Agent 5264,154189.518592,10
681,Agent 5264,224261.1071833344,10
682,Agent 5289,213308.7667044454,10
683,Agent 5302,156499.93972644277,10
684,Agent 5305,141106.4137771946,10
685,Agent 5305,121424.61652340637,10
686,Agent 5323,68771.72000000002,10
687,Agent 5333,204752.915,10
688,Agent 5339,219631.768,10
689,Agent 5344,126344.4602,10
690,Agent 5353,137784.98,10
691,Agent 5359,118235.19200000001,10
692,Agent 5353,181442.40000000002,10
693,Agent 5375,171719.72339999996,10
694,Agent 5384,226890.365764,10
695,Agent 5394,255212.33405416,10
696,Agent 5400,183258.85,10
697,Agent 5400,106708.0,10
698,Agent 5417,275061.44367999997,10
699,Agent 5400,165228.25776000007,10
700,Agent 5429,254118.19999999998,10
701,Agent 5437,156281.30824800002,10
702,Agent 5437,113309.26229999999,10
703,Agent 5451,262787.4923549999,10
704,Agent 5465,296232.62454916997,10
705,Agent 5465,111548.3722418552,10
706,Agent 5451,327804.43722418556,10
707,Agent 5451,221471.44105912762,10
708,Agent 5451,140606.808,10
709,Agent 5484,351874.27032,10
710,Agent 5484,122091.7357008,10
711,Agent 5512,213120.4401410067,10
712,Agent 5512,180074.33598842076,10
713,Agent 5530,102098.0,10
714,Agent 5540,144592.14900079952,10
715,Agent 5540,117911.00839514431,10
716,Agent 5553,151170.53109332442,10
717,Agent 5569,97968.84974931907,10
718,Agent 5576,142294.1,10
719,Agent 5580,192213.98400000003,10
720,Agent 5580,120909.0368,10
721,Agent 5599,167070.4,10
722,Agent 5602,190533.0912687104,10
723,Agent 5615,187686.54487739393,10
724,Agent 5618,183007.20488777524,10
725,Agent 5625,195649.026,10
726,Agent 5625,39686.89663999999,10
727,Agent 5640,160985.65114880004,10
728,Agent 5648,202469.39501439998,10
729,Agent 5648,122010.59999999996,10
730,Agent 5648,139856.91723968,10
731,Agent 5648,100640.0,10
732,Agent 5648,125104.83277353575,10
733,Agent 5689,160325.1,10
734,Agent 5648,195914.23867686559,10
735,Agent 5703,142830.5502464,10
736,Agent 5708,61680.44832870399,10
737,Agent 5715,109158.6654,10
738,Agent 5722,148088.250937088,10
739,Agent 5731,161486.5855378944,10
740,Agent 5722,175404.2,10
741,Agent 5745,156469.92656,10
742,Agent 5745,123446.36575999999,10
743,Agent 5745,99845.88800000012,10
744,Agent 5776,370986.67575040006,10
745,Agent 5776,220637.28270848002,10
746,Agent 5789,171133.8848528384,10
747,Agent 5796,210908.43940995075,10
748,Agent 5801,123875.28,10
749,Agent 5801,190226.1,10
750,Agent 5801,100882.0,10
751,Agent 5819,116319.244,10
752,Agent 5801,143199.348136,10
753,Agent 5801,232811.50486656,10
754,Agent 5801,195675.9114710784,10
755,Agent 5801,255614.54900734118,10
756,Agent 5868,337507.0905780785,10
757,Agent 5881,169244.5613472974,10
758,Agent 5883,114441.95764559128,10
759,Agent 5890,141030.275061663,10
760,Agent 5901,114781.4,10
761,Agent 5906,67602.75911999999,10
762,Agent 5917,222191.28085568,10
763,Agent 5917,117524.79841177599,10
764,Agent 5920,181262.46244163584,10
765,Agent 5937,173400.18546553343,10
766,Agent 5937,106468.0,10
767,Agent 5920,195101.59347999998,10
768,Agent 5937,227885.026052,10
769,Agent 5937,152348.7,10
770,Agent 5974,230657.7714607999,10
771,Agent 5987,211699.372,10
772,Agent 5989,279004.55999999994,10
773,Agent 5998,154559.952,10
774,Agent 6009,96348.0,10
775,Agent 6015,154483.945624832,10
776,Agent 6020,99676.57131122687,10
777,Agent 6030,104464.0,10
778,Agent 6041,262878.96,10
779,Agent 6041,109447.81599999999,10
780,Agent 6054,75060.72220320001,10
781,Agent 6041,139432.31644064002,10
782,Agent 6066,132592.463203424,10
783,Agent 6066,211410.87536796572,10
784,Agent 6066,105010.31599567471,10
785,Agent 6090,194058.0,10
786,Agent 6090,135880.20799999998,10
787,Agent 6111,163361.12761688308,10
