Game Number,Agent Name,Balance,Games Won
53,Agent 406,66665.0,1
53,Agent 404,0.0,0
54,Agent 413,0.0,0
54,Agent 414,0.0,0
54,Agent 415,0.0,0
54,Agent 416,137221.0,1
54,Agent 418,0.0,0
54,Agent 419,0.0,0
54,Agent 406,0.0,1
55,Agent 420,0.0,0
55,Agent 422,0.0,0
55,Agent 423,0.0,0
55,Agent 424,108737.0,1
55,Agent 425,0.0,0
55,Agent 426,0.0,0
55,Agent 416,32984.53200000001,1
56,Agent 429,0.0,0
56,Agent 430,0.0,0
56,Agent 431,0.0,0
56,Agent 432,0.0,0
56,Agent 433,0.0,0
56,Agent 434,101842.0,1
56,Agent 436,0.0,0
56,Agent 416,4083.215760000001,1
57,Agent 443,0.0,0
57,Agent 434,140180.85,2
58,Agent 434,78255.73559999999,2
58,Agent 445,150657.0,1
58,Agent 446,0.0,0
58,Agent 448,0.0,0
58,Agent 449,0.0,0
58,Agent 451,0.0,0
58,Agent 452,0.0,0
58,Agent 453,0.0,0
59,Agent 454,162106.0,1
59,Agent 455,0.0,0
59,Agent 456,0.0,0
59,Agent 458,0.0,0
59,Agent 460,0.0,0
59,Agent 461,0.0,0
59,Agent 434,0.0,2
59,Agent 445,25361.170576000004,1
60,Agent 445,0.0,1
60,Agent 463,0.0,0
60,Agent 465,86671.0,1
60,Agent 466,0.0,0
60,Agent 454,131976.0,1
61,Agent 470,70100.0,1
61,Agent 472,0.0,0
61,Agent 473,0.0,0
61,Agent 474,0.0,0
61,Agent 475,0.0,0
61,Agent 477,0.0,0
61,Agent 465,76671.0,1
62,Agent 465,44115.2,1
62,Agent 478,0.0,0
62,Agent 479,0.0,0
62,Agent 481,0.0,0
62,Agent 483,0.0,0
62,Agent 484,0.0,0
62,Agent 485,103054.0,1
62,Agent 470,37544.2,1
63,Agent 485,61924.875680000005,1
63,Agent 470,0.0,1
63,Agent 486,99873.0,1
63,Agent 487,0.0,0
63,Agent 488,0.0,0
63,Agent 489,0.0,0
63,Agent 490,0.0,0
63,Agent 491,0.0,0
63,Agent 492,0.0,0
63,Agent 465,2986.075680000001,1
64,Agent 486,18974.062159999994,1
64,Agent 465,0.0,1
64,Agent 493,0.0,0
64,Agent 494,0.0,0
64,Agent 495,121815.0,1
64,Agent 497,0.0,0
64,Agent 498,0.0,0
64,Agent 499,0.0,0
64,Agent 485,0.0,1
65,Agent 495,165508.0188656,2
65,Agent 500,0.0,0
65,Agent 502,0.0,0
65,Agent 486,0.0,1
66,Agent 509,171090.0,1
66,Agent 513,0.0,0
66,Agent 514,0.0,0
66,Agent 515,0.0,0
66,Agent 516,0.0,0
66,Agent 495,62405.95954624,2
67,Agent 495,226126.0,3
67,Agent 518,0.0,0
67,Agent 520,0.0,0
67,Agent 521,0.0,0
67,Agent 522,0.0,0
67,Agent 523,0.0,0
67,Agent 524,0.0,0
67,Agent 509,67368.51011344,1
68,Agent 509,0.0,1
68,Agent 525,273172.0,1
68,Agent 526,0.0,0
68,Agent 527,0.0,0
68,Agent 528,0.0,0
68,Agent 531,0.0,0
68,Agent 532,0.0,0
68,Agent 495,84222.40000000002,3
69,Agent 495,0.0,3
69,Agent 533,0.0,0
69,Agent 535,0.0,0
69,Agent 537,151958.0,1
69,Agent 538,0.0,0
69,Agent 539,0.0,0
69,Agent 525,81812.22911999999,1
70,Agent 542,0.0,0
70,Agent 543,116060.0,1
70,Agent 544,0.0,0
70,Agent 548,0.0,0
70,Agent 537,86185.82816,1
70,Agent 525,16040.057279999997,1
