Game Number,Agent Name,Balance,Games Won
24,Agent 207,10000,0
24,Agent 208,10000,0
24,Agent 209,10000,0
25,Agent 209,39867.0,1
25,Agent 194,65536.0,1
25,Agent 210,10000,0
25,Agent 211,10000,0
25,Agent 212,10000,0
25,Agent 213,10000,0
25,Agent 214,10000,0
25,Agent 215,10000,0
25,Agent 216,10000,0
25,Agent 217,10000,0
26,Agent 194,11499.199999999997,1
26,Agent 209,118023.0,2
26,Agent 218,10000,0
26,Agent 219,10000,0
26,Agent 220,10000,0
26,Agent 221,10000,0
26,Agent 222,10000,0
26,Agent 223,10000,0
26,Agent 224,10000,0
26,Agent 225,10000,0
27,Agent 209,178940.32,3
27,Agent 226,10000,0
27,Agent 227,10000,0
27,Agent 228,10000,0
27,Agent 229,10000,0
27,Agent 230,10000,0
27,Agent 231,10000,0
27,Agent 232,10000,0
27,Agent 233,10000,0
27,Agent 234,10000,0
28,Agent 231,155750.0,1
28,Agent 209,42725.08,3
28,Agent 235,10000,0
28,Agent 236,10000,0
28,Agent 237,10000,0
28,Agent 238,10000,0
28,Agent 239,10000,0
28,Agent 240,10000,0
28,Agent 241,10000,0
28,Agent 242,10000,0
29,Agent 209,4736.216,3
29,Agent 242,91052.0,1
29,Agent 231,117761.136,1
29,Agent 243,10000,0
29,Agent 244,10000,0
29,Agent 245,10000,0
29,Agent 246,10000,0
29,Agent 247,10000,0
29,Agent 248,10000,0
29,Agent 249,10000,0
30,Agent 231,44601.856,1
30,Agent 242,206694.72,2
30,Agent 250,10000,0
30,Agent 251,10000,0
30,Agent 252,10000,0
30,Agent 253,10000,0
30,Agent 254,10000,0
30,Agent 255,10000,0
30,Agent 256,10000,0
30,Agent 257,10000,0
31,Agent 242,309728.576,3
31,Agent 258,10000,0
31,Agent 259,10000,0
31,Agent 260,10000,0
31,Agent 261,10000,0
31,Agent 262,10000,0
31,Agent 263,10000,0
31,Agent 264,10000,0
31,Agent 265,10000,0
31,Agent 266,10000,0
32,Agent 258,48140.0,1
32,Agent 259,490.0,0
32,Agent 261,490.0,0
32,Agent 265,490.0,0
32,Agent 242,300218.576,3
32,Agent 267,10000,0
32,Agent 268,10000,0
32,Agent 269,10000,0
32,Agent 270,10000,0
32,Agent 271,10000,0
33,Agent 261,30159.0,1
33,Agent 242,266403.576,3
33,Agent 258,14325.000000000002,1
33,Agent 272,10000,0
33,Agent 273,10000,0
33,Agent 274,10000,0
33,Agent 275,10000,0
33,Agent 276,10000,0
33,Agent 277,10000,0
33,Agent 278,10000,0
34,Agent 242,321902.7682,4
34,Agent 279,10000,0
34,Agent 280,10000,0
34,Agent 281,10000,0
34,Agent 282,10000,0
34,Agent 283,10000,0
34,Agent 284,10000,0
34,Agent 285,10000,0
34,Agent 286,10000,0
34,Agent 287,10000,0
35,Agent 279,223946.0,1
35,Agent 242,78343.19205,4
35,Agent 288,10000,0
35,Agent 289,10000,0
35,Agent 290,10000,0
35,Agent 291,10000,0
35,Agent 292,10000,0
35,Agent 293,10000,0
35,Agent 294,10000,0
35,Agent 295,10000,0
36,Agent 288,87630.0,1
36,Agent 279,150232.599473,1
36,Agent 242,4629.791523,4
36,Agent 296,10000,0
36,Agent 297,10000,0
36,Agent 298,10000,0
36,Agent 299,10000,0
36,Agent 300,10000,0
36,Agent 301,10000,0
36,Agent 302,10000,0
37,Agent 242,108996.0,5
37,Agent 279,73066.2997365,1
37,Agent 303,10000,0
37,Agent 304,10000,0
37,Agent 305,10000,0
37,Agent 306,10000,0
37,Agent 307,10000,0
37,Agent 308,10000,0
37,Agent 309,10000,0
37,Agent 310,10000,0
38,Agent 306,113257.0,1
38,Agent 242,3024.5079362316014,5
38,Agent 311,10000,0
38,Agent 312,10000,0
38,Agent 313,10000,0
38,Agent 314,10000,0
38,Agent 315,10000,0
38,Agent 316,10000,0
38,Agent 317,10000,0
38,Agent 318,10000,0
39,Agent 311,120925.0,1
39,Agent 306,18105.119999999995,1
39,Agent 319,10000,0
39,Agent 320,10000,0
39,Agent 321,10000,0
39,Agent 322,10000,0
39,Agent 323,10000,0
39,Agent 324,10000,0
39,Agent 325,10000,0
39,Agent 326,10000,0
40,Agent 320,150060.0,1
40,Agent 311,39843.0,1
40,Agent 327,10000,0
40,Agent 328,10000,0
40,Agent 329,10000,0
40,Agent 330,10000,0
40,Agent 331,10000,0
40,Agent 332,10000,0
40,Agent 333,10000,0
40,Agent 334,10000,0
41,Agent 311,99892.688,2
41,Agent 335,10000,0
41,Agent 336,10000,0
41,Agent 337,10000,0
41,Agent 338,10000,0
41,Agent 339,10000,0
41,Agent 340,10000,0
41,Agent 341,10000,0
41,Agent 342,10000,0
41,Agent 343,10000,0
42,Agent 339,143787.0,1
42,Agent 311,2104.3845120000005,2
42,Agent 344,10000,0
42,Agent 345,10000,0
42,Agent 346,10000,0
42,Agent 347,10000,0
42,Agent 348,10000,0
42,Agent 349,10000,0
42,Agent 350,10000,0
42,Agent 351,10000,0
43,Agent 351,57512.0,1
43,Agent 339,133787.00000000003,1
43,Agent 352,10000,0
43,Agent 353,10000,0
43,Agent 354,10000,0
43,Agent 355,10000,0
43,Agent 356,10000,0
43,Agent 357,10000,0
43,Agent 358,10000,0
43,Agent 359,10000,0
44,Agent 357,114872.0,1
44,Agent 339,22969.260000000002,1
44,Agent 360,10000,0
44,Agent 361,10000,0
44,Agent 362,10000,0
44,Agent 363,10000,0
44,Agent 364,10000,0
44,Agent 365,10000,0
44,Agent 366,10000,0
44,Agent 367,10000,0
45,Agent 339,82727.778,2
45,Agent 368,10000,0
45,Agent 369,10000,0
45,Agent 370,10000,0
45,Agent 371,10000,0
45,Agent 372,10000,0
45,Agent 373,10000,0
45,Agent 374,10000,0
45,Agent 375,10000,0
45,Agent 376,10000,0
46,Agent 369,111513.0,1
46,Agent 339,21728.333400000003,2
46,Agent 377,10000,0
46,Agent 378,10000,0
46,Agent 379,10000,0
46,Agent 380,10000,0
46,Agent 381,10000,0
46,Agent 382,10000,0
46,Agent 383,10000,0
46,Agent 384,10000,0
47,Agent 339,11759.053400000003,2
47,Agent 377,79242.72,1
47,Agent 385,10000,0
47,Agent 386,10000,0
47,Agent 387,10000,0
47,Agent 388,10000,0
47,Agent 389,10000,0
47,Agent 390,10000,0
47,Agent 391,10000,0
47,Agent 392,10000,0
48,Agent 377,158992.187144,2
48,Agent 393,10000,0
48,Agent 394,10000,0
48,Agent 395,10000,0
48,Agent 396,10000,0
48,Agent 397,10000,0
48,Agent 398,10000,0
48,Agent 399,10000,0
48,Agent 400,10000,0
48,Agent 401,10000,0
49,Agent 395,100000.0,1
49,Agent 377,148992.187144,2
49,Agent 402,10000,0
49,Agent 403,10000,0
49,Agent 404,10000,0
49,Agent 405,10000,0
49,Agent 406,10000,0
49,Agent 407,10000,0
49,Agent 408,10000,0
49,Agent 409,10000,0
50,Agent 377,321311.435790072,3
50,Agent 410,10000,0
50,Agent 411,10000,0
50,Agent 412,10000,0
50,Agent 413,10000,0
50,Agent 414,10000,0
50,Agent 415,10000,0
50,Agent 416,10000,0
50,Agent 417,10000,0
50,Agent 418,10000,0
51,Agent 418,284278.0,1
51,Agent 377,65029.65751591514,3
51,Agent 419,10000,0
51,Agent 420,10000,0
51,Agent 421,10000,0
51,Agent 422,10000,0
51,Agent 423,10000,0
51,Agent 424,10000,0
51,Agent 425,10000,0
51,Agent 426,10000,0
52,Agent 424,166710.0,1
52,Agent 425,166710.0,1
52,Agent 418,9600.911999999997,1
52,Agent 427,10000,0
52,Agent 428,10000,0
52,Agent 429,10000,0
52,Agent 430,10000,0
52,Agent 431,10000,0
52,Agent 432,10000,0
52,Agent 433,10000,0
53,Agent 431,77795.25572608,1
53,Agent 424,156765.25572608004,1
53,Agent 434,10000,0
53,Agent 435,10000,0
53,Agent 436,10000,0
53,Agent 437,10000,0
53,Agent 438,10000,0
53,Agent 439,10000,0
53,Agent 440,10000,0
53,Agent 441,10000,0
54,Agent 431,67795.25572608001,1
54,Agent 434,96313.0,1
54,Agent 442,10000,0
54,Agent 443,10000,0
54,Agent 444,10000,0
54,Agent 445,10000,0
54,Agent 446,10000,0
54,Agent 447,10000,0
54,Agent 448,10000,0
54,Agent 449,10000,0
